Time,Johnson Hall Electricity (kWh)
Sat Mar 07 2020 20:45:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 20:30:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 20:15:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 20:00:00 GMT-0800 (Pacific Standard Time),216
Sat Mar 07 2020 18:45:00 GMT-0800 (Pacific Standard Time),44
Sat Mar 07 2020 18:30:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 18:15:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 18:00:00 GMT-0800 (Pacific Standard Time),44
Sat Mar 07 2020 17:45:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 17:30:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 17:15:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 17:00:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 16:45:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 16:30:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 16:15:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 16:00:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 15:45:00 GMT-0800 (Pacific Standard Time),44
Sat Mar 07 2020 15:30:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 15:15:00 GMT-0800 (Pacific Standard Time),44
Sat Mar 07 2020 15:00:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 14:45:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 14:30:00 GMT-0800 (Pacific Standard Time),44
Sat Mar 07 2020 14:15:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 14:00:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 13:45:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 13:30:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 13:15:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 13:00:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 12:45:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 12:30:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 12:15:00 GMT-0800 (Pacific Standard Time),40
Sat Mar 07 2020 12:00:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 11:45:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 11:30:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 11:15:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 11:00:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 10:45:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 10:30:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 10:15:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 10:00:00 GMT-0800 (Pacific Standard Time),40
Sat Mar 07 2020 09:45:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 09:30:00 GMT-0800 (Pacific Standard Time),40
Sat Mar 07 2020 09:15:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 09:00:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 08:45:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 08:30:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 08:15:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 08:00:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 07:45:00 GMT-0800 (Pacific Standard Time),40
