Time,Gill Electricity (kWh)
Sat Mar 07 2020 02:45:00 GMT-0800 (Pacific Standard Time),23
Sat Mar 07 2020 02:30:00 GMT-0800 (Pacific Standard Time),24
Sat Mar 07 2020 02:15:00 GMT-0800 (Pacific Standard Time),23
Sat Mar 07 2020 02:00:00 GMT-0800 (Pacific Standard Time),24
Sat Mar 07 2020 01:45:00 GMT-0800 (Pacific Standard Time),25
Sat Mar 07 2020 01:30:00 GMT-0800 (Pacific Standard Time),24
Sat Mar 07 2020 01:15:00 GMT-0800 (Pacific Standard Time),29
Sat Mar 07 2020 01:00:00 GMT-0800 (Pacific Standard Time),27
Sat Mar 07 2020 00:45:00 GMT-0800 (Pacific Standard Time),26
Sat Mar 07 2020 00:30:00 GMT-0800 (Pacific Standard Time),26
Sat Mar 07 2020 00:15:00 GMT-0800 (Pacific Standard Time),26
Sat Mar 07 2020 00:00:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 23:45:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 23:30:00 GMT-0800 (Pacific Standard Time),26
Fri Mar 06 2020 23:15:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 23:00:00 GMT-0800 (Pacific Standard Time),26
Fri Mar 06 2020 22:45:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 22:30:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 22:15:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 22:00:00 GMT-0800 (Pacific Standard Time),32
Fri Mar 06 2020 21:45:00 GMT-0800 (Pacific Standard Time),32
Fri Mar 06 2020 21:30:00 GMT-0800 (Pacific Standard Time),35
Fri Mar 06 2020 21:15:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 21:00:00 GMT-0800 (Pacific Standard Time),42
Fri Mar 06 2020 20:45:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 20:30:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 20:15:00 GMT-0800 (Pacific Standard Time),45
Fri Mar 06 2020 20:00:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 19:45:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 19:30:00 GMT-0800 (Pacific Standard Time),45
Fri Mar 06 2020 19:15:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 19:00:00 GMT-0800 (Pacific Standard Time),44
Fri Mar 06 2020 18:45:00 GMT-0800 (Pacific Standard Time),47
Fri Mar 06 2020 18:30:00 GMT-0800 (Pacific Standard Time),47
Fri Mar 06 2020 18:15:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 18:00:00 GMT-0800 (Pacific Standard Time),49
Fri Mar 06 2020 17:45:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 17:30:00 GMT-0800 (Pacific Standard Time),49
Fri Mar 06 2020 17:15:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 17:00:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 16:45:00 GMT-0800 (Pacific Standard Time),49
Fri Mar 06 2020 16:30:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 16:15:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 16:00:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 15:45:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 15:30:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 15:15:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 15:00:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 14:45:00 GMT-0800 (Pacific Standard Time),49
Fri Mar 06 2020 14:30:00 GMT-0800 (Pacific Standard Time),40
Fri Mar 06 2020 14:15:00 GMT-0800 (Pacific Standard Time),37
